arm,bary_method,cap,est_method,floor,optimizer,fold,seed,any_nan,min_beta,n_series,time_s
A1,wasps,flat5,mle,1e-05,sgd,0,42,True,4.183598427336982,19,127.4
A1,wasps,flat5,mle,1e-05,sgd,1,42,True,0.2290726074948048,18,116.1
A1,wasps,flat5,mle,1e-05,sgd,2,42,True,0.0661029853026961,18,162.4
A1,wasps,flat5,mle,1e-05,sgd,3,42,True,0.20156702963010148,18,44.9
A1,wasps,flat5,mle,1e-05,sgd,4,42,True,4.73810986654094,19,52.7
A2,wasps,flat5,log_cumulant,1e-05,sgd,0,42,False,0.30509554625329116,19,234.6
A2,wasps,flat5,log_cumulant,1e-05,sgd,1,42,True,0.3035061646572207,18,313.8
A2,wasps,flat5,log_cumulant,1e-05,sgd,2,42,False,0.3035061646572207,18,296.7
A2,wasps,flat5,log_cumulant,1e-05,sgd,3,42,True,0.264684924576856,18,104.3
A2,wasps,flat5,log_cumulant,1e-05,sgd,4,42,False,0.30509554625329116,19,181.5
A3,wasps,flat5,mle,1e-08,sgd,0,42,True,4.183598427336982,19,38.3
A3,wasps,flat5,mle,1e-08,sgd,1,42,True,0.2290726074948048,18,80.8
A4,wasps,flat5,mle,1e-05,adam,0,42,False,0.02996491619766605,19,280.7
A4,wasps,flat5,mle,1e-05,adam,1,42,False,0.16255170223804857,18,269.2
A5,wasps,flat5,log_cumulant,1e-05,adam,0,42,False,0.10670191274249252,19,281.6
A5,wasps,flat5,log_cumulant,1e-05,adam,1,42,False,0.2984541614608077,18,269.0
B,eucl_params,flat5,mle,1e-05,sgd,0,42,False,0.08365461235586727,19,111.5
B,eucl_params,flat5,mle,1e-05,sgd,1,42,False,0.31622671297850036,18,107.7
C,wasps,real_total20,mle,1e-05,sgd,0,42,True,6.86243197907966,20,32.3
C,wasps,real_total20,mle,1e-05,sgd,1,42,True,3.0277417553507644,18,52.5
