method,f1_weighted_mean,f1_macro_mean,W,W_sq,ks_pass_rate,f1_weighted_std,f1_macro_std
euclidean_raw,0.42049511119212046,0.2868518379394126,4,16,0.9947916666666666,,
euclidean_params,0.2856684791408581,0.18814152677048926,4,16,0.9947916666666666,,
wasserstein_weibull,0.40733443844295447,0.28270726904002064,4,16,0.9947916666666666,,
euclidean_raw,0.4806117045886124,0.3291594793496932,6,36,0.9547916666666667,,
euclidean_params,0.33042988608349777,0.22240805551737053,6,36,0.9547916666666667,,
wasserstein_weibull,0.44244782456276927,0.3072693249893374,6,36,0.9547916666666667,,
euclidean_raw,0.5211226910950327,0.35089999576611497,8,64,0.9210416666666666,,
euclidean_params,0.36959328753312554,0.24918154252744176,8,64,0.9210416666666666,,
wasserstein_weibull,0.46583974377153065,0.32098444686273503,8,64,0.9210416666666666,,
euclidean_raw,0.587189011397585,0.39332767286086684,12,144,0.795625,,
euclidean_params,0.3879768373816965,0.2750535447559556,12,144,0.795625,,
wasserstein_weibull,0.4880968318011323,0.3249696724363579,12,144,0.795625,,
