method,f1_weighted_mean,f1_macro_mean,gamma,f1_weighted_std,f1_macro_std
euclidean_raw,0.7179010456063069,0.6113012618147523,0.01,,
euclidean_params,0.4229614102017029,0.3486318445787345,0.01,,
wasserstein_weibull,0.6972017163103404,0.5997848524927303,0.01,,
euclidean_raw,0.7120558591515633,0.6073316115101969,0.1,,
euclidean_params,0.43897711118140176,0.3684234630683279,0.1,,
wasserstein_weibull,0.6777928196218019,0.5737117079899366,0.1,,
euclidean_raw,0.6957525118730717,0.5960771193900194,1.0,,
euclidean_params,0.447554933663007,0.384635982823289,1.0,,
wasserstein_weibull,0.6379718238658406,0.5400064886029625,1.0,,
euclidean_raw,0.670325186391649,0.5685478180377141,5.0,,
euclidean_params,0.42008583181923703,0.35024732930753927,5.0,,
wasserstein_weibull,0.6298230225259244,0.5344893934579632,5.0,,
euclidean_raw,0.6473945885899737,0.5493644230191169,10.0,,
euclidean_params,0.4128201513641308,0.3443618149347912,10.0,,
wasserstein_weibull,0.6290277698243942,0.5341646084345761,10.0,,
euclidean_raw,0.594793324765449,0.5077922759795879,50.0,,
euclidean_params,0.40717951789483864,0.3360994819303431,50.0,,
wasserstein_weibull,0.6269099016184276,0.5326570054764946,50.0,,
euclidean_raw,0.6113825901666448,0.5173536379966764,100.0,,
euclidean_params,0.405295220799701,0.3341737050144212,100.0,,
wasserstein_weibull,0.6262557772958419,0.5321709556016211,100.0,,
