frac,n_train,method,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std
0.05,39,euclidean_params,0.396163131884706,,0.3136824988614014,
0.05,39,euclidean_raw,0.570615311605781,,0.5113022891528534,
0.05,39,wasserstein_weibull,0.5382186085141939,,0.46044240272678394,
0.1,78,euclidean_params,0.39738308177213805,,0.3127367236353555,
0.1,78,euclidean_raw,0.6510903598637611,,0.5770053566158716,
0.1,78,wasserstein_weibull,0.5947877412219681,,0.5089382696792297,
0.2,156,euclidean_params,0.39651357084814287,,0.31633429949981906,
0.2,156,euclidean_raw,0.6409086294568638,,0.5422137079916101,
0.2,156,wasserstein_weibull,0.6207317510292543,,0.5311799027399237,
0.4,312,euclidean_params,0.42305310225312787,,0.33765039500310956,
0.4,312,euclidean_raw,0.6304235417888271,,0.5334846013734756,
0.4,312,wasserstein_weibull,0.6163337317607004,,0.5217958824238679,
0.6,468,euclidean_params,0.42000393222831334,,0.34586333900089355,
0.6,468,euclidean_raw,0.6336238163115226,,0.5413595436277351,
0.6,468,wasserstein_weibull,0.6197682234584307,,0.5289946562434374,
0.8,624,euclidean_params,0.41769657352368006,,0.34573106471123244,
0.8,624,euclidean_raw,0.6335245023461592,,0.5435869959557577,
0.8,624,wasserstein_weibull,0.624785001962773,,0.5341405753914761,
1.0,780,euclidean_params,0.4128201513641308,,0.3443618149347912,
1.0,780,euclidean_raw,0.6473945885899737,,0.5493644230191169,
1.0,780,wasserstein_weibull,0.6290277698243942,,0.5341646084345761,
