lr,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
0.05,0.0001,42,,0.3196946211683054,2.024352788925171,0.27468419075012207,2.299036979675293,0.2564102564102564,0.26666666666666666,0.13636363636363635,0.17543859649122806,0.0,0.0,0.6
0.05,0.0001,43,,0.38095068073973176,1.8707151412963867,0.4865403175354004,2.357255458831787,0.43956043956043955,0.15789473684210525,0.20408163265306123,0.26229508196721313,0.0,0.0,0.5714285714285714
0.05,0.0001,44,,0.350030984799499,3.227557897567749,0.34845447540283203,3.576012372970581,0.33766233766233766,0.3157894736842105,0.08888888888888889,0.24615384615384617,0.0,0.0,0.584070796460177
0.05,0.01,42,,0.310587595472462,2.401174783706665,0.33788609504699707,2.739060878753662,0.23076923076923078,0.20689655172413793,0.13953488372093023,0.15873015873015872,0.0,0.0,0.6190476190476191
0.05,0.01,43,,0.33340539828024834,1.8365545272827148,0.3897252082824707,2.2262797355651855,0.35714285714285715,0.14634146341463414,0.2,0.19672131147540983,0.0,0.0,0.5384615384615384
0.05,0.01,44,,0.3886801815944673,3.25014066696167,0.29825258255004883,3.5483932495117188,0.4266666666666667,0.3333333333333333,0.19230769230769232,0.25396825396825395,0.0,0.0,0.5765765765765766
0.05,0.1,42,,0.33109900370404577,2.212102174758911,0.34005236625671387,2.552154541015625,0.3058823529411765,0.11428571428571428,0.05555555555555555,0.24615384615384617,0.0,0.0,0.6153846153846154
0.05,0.1,43,,0.3307886921494895,1.6148085594177246,0.6186301708221436,2.233438730239868,0.3466666666666667,0.046511627906976744,0.19230769230769232,0.2857142857142857,0.0,0.0,0.5054945054945055
0.05,0.1,44,,0.3793331275963338,1.9841227531433105,0.6488120555877686,2.632934808731079,0.32432432432432434,0.34146341463414637,0.17391304347826086,0.3050847457627119,0.0,0.0,0.6126126126126126
0.05,1.0,42,,0.3951339486538512,3.027143716812134,0.2734832763671875,3.3006269931793213,0.4,0.21739130434782608,0.46511627906976744,0.20408163265306123,0.0,0.0,0.5714285714285714
0.05,1.0,43,,0.33619878690392413,1.4929769039154053,0.28229498863220215,1.7752718925476074,0.35714285714285715,0.08163265306122448,0.36363636363636365,0.1724137931034483,0.0,0.0,0.5111111111111111
0.05,1.0,44,,0.3487937466933528,1.348376750946045,0.3248631954193115,1.6732399463653564,0.23880597014925373,0.36363636363636365,0.2033898305084746,0.2857142857142857,0.0,0.2222222222222222,0.5765765765765766
0.05,10.0,42,,0.37499669258351676,2.781576633453369,0.2749977111816406,3.0565743446350098,0.3950617283950617,0.22727272727272727,0.3333333333333333,0.20408163265306123,0.0,0.0,0.5614035087719298
0.05,10.0,43,,0.33716693898767547,1.1075425148010254,0.44042348861694336,1.5479660034179688,0.3333333333333333,0.045454545454545456,0.3793103448275862,0.17543859649122806,0.0,0.0,0.5376344086021505
0.05,10.0,44,,0.3419862502870021,0.8348560333251953,0.29837679862976074,1.133232831954956,0.2571428571428571,0.36363636363636365,0.17857142857142858,0.2807017543859649,0.0,0.0,0.5585585585585585
0.05,100.0,42,,0.3828867077556032,2.6792211532592773,0.2804582118988037,2.959679365158081,0.4146341463414634,0.30434782608695654,0.3,0.20833333333333334,0.0,0.0,0.5614035087719298
0.05,100.0,43,,0.33592310533533154,1.0149593353271484,0.3425898551940918,1.3575491905212402,0.35714285714285715,0.043478260869565216,0.39285714285714285,0.14545454545454545,0.0,0.0,0.5263157894736842
0.05,100.0,44,,0.33336394632911664,0.9426255226135254,0.271892786026001,1.2145183086395264,0.2535211267605634,0.36363636363636365,0.1724137931034483,0.2545454545454545,0.0,0.0,0.5535714285714286
0.05,10000.0,42,,0.3806133063922032,1.1209526062011719,0.30582237243652344,1.4267749786376953,0.40963855421686746,0.30434782608695654,0.3,0.20408163265306123,0.0,0.0,0.5614035087719298
0.05,10000.0,43,,0.3390584207944851,1.085646629333496,0.45462989807128906,1.5402765274047852,0.367816091954023,0.045454545454545456,0.39285714285714285,0.14545454545454545,0.0,0.0,0.5263157894736842
0.05,10000.0,44,,0.34419360566690443,1.087160587310791,0.4888477325439453,1.5760083198547363,0.2972972972972973,0.36363636363636365,0.1724137931034483,0.2545454545454545,0.0,0.0,0.5486725663716814
