k,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
1,0.0001,42,,0.6428571428571429,2.6226043701171875e-06,11.39237356185913,11.392376184463501,0.0,1.0,1.0,0.5,1.0,1.0,0.0
1,0.0001,43,,0.8095238095238094,2.6226043701171875e-06,10.839460849761963,10.839463472366333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0
1,0.0001,44,,0.6428571428571429,2.86102294921875e-06,10.951448202133179,10.951451063156128,1.0,0.5,0.0,1.0,1.0,1.0,0.0
1,0.01,42,,0.6428571428571429,1.9073486328125e-06,11.402002573013306,11.402004480361938,0.0,1.0,1.0,0.5,1.0,1.0,0.0
1,0.01,43,,0.619047619047619,2.1457672119140625e-06,10.902838706970215,10.902840852737427,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,1.0,0.0
1,0.01,44,,0.4523809523809524,1.6689300537109375e-06,10.933881759643555,10.933883428573608,1.0,0.5,0.0,0.0,1.0,0.6666666666666666,0.0
1,0.1,42,,0.5238095238095238,1.6689300537109375e-06,11.141199827194214,11.141201496124268,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0
1,0.1,43,,0.8095238095238094,1.6689300537109375e-06,11.399390697479248,11.399392366409302,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0
1,0.1,44,,0.6428571428571429,1.1920928955078125e-06,11.388997793197632,11.388998985290527,1.0,0.5,0.0,1.0,1.0,1.0,0.0
1,1.0,42,,0.5238095238095238,2.1457672119140625e-06,11.094165802001953,11.094167947769165,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0
1,1.0,43,,0.8095238095238094,2.86102294921875e-06,11.377808332443237,11.377811193466187,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0
1,1.0,44,,0.26190476190476186,1.9073486328125e-06,11.36784029006958,11.367842197418213,0.6666666666666666,0.5,0.0,0.6666666666666666,0.0,0.0,0.0
1,10.0,42,,0.5238095238095238,2.1457672119140625e-06,11.05303168296814,11.053033828735352,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0
1,10.0,43,,0.619047619047619,1.6689300537109375e-06,10.7545485496521,10.754550218582153,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666
1,10.0,44,,0.26190476190476186,1.6689300537109375e-06,10.829210042953491,10.829211711883545,0.6666666666666666,0.5,0.0,0.6666666666666666,0.0,0.0,0.0
1,100.0,42,,0.5238095238095238,1.9073486328125e-06,11.038326740264893,11.038328647613525,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0
1,100.0,43,,0.619047619047619,1.430511474609375e-06,10.632519006729126,10.6325204372406,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.6666666666666666
1,100.0,44,,0.26190476190476186,1.430511474609375e-06,10.83787488937378,10.837876319885254,0.6666666666666666,0.5,0.0,0.6666666666666666,0.0,0.0,0.0
1,10000.0,42,,0.4857142857142857,1.9073486328125e-06,10.078755378723145,10.078757286071777,0.0,1.0,0.4,0.0,1.0,1.0,0.0
1,10000.0,43,,0.4523809523809524,1.6689300537109375e-06,10.303128957748413,10.303130626678467,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,0.5
1,10000.0,44,,0.26190476190476186,1.6689300537109375e-06,10.395962715148926,10.39596438407898,0.6666666666666666,0.5,0.0,0.6666666666666666,0.0,0.0,0.0
