lr,gamma,seed,fold,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
0.001,0.0001,42,,0.3376674937965261,3.5500409603118896,0.37461113929748535,3.924652099609375,0.4,0.24615384615384617,0.4645161290322581,0.24
0.001,0.0001,43,,0.2647314847314847,3.2602810859680176,0.24616479873657227,3.50644588470459,0.5064935064935064,0.12,0.0,0.43243243243243246
0.001,0.0001,44,,0.3282961441153532,3.0525474548339844,0.2895619869232178,3.342109441757202,0.4745762711864407,0.09090909090909091,0.4567901234567901,0.2909090909090909
0.001,0.01,42,,0.3376674937965261,3.5786519050598145,0.35717082023620605,3.9358227252960205,0.4,0.24615384615384617,0.4645161290322581,0.24
0.001,0.01,43,,0.2647314847314847,3.1267688274383545,0.2776453495025635,3.404414176940918,0.5064935064935064,0.12,0.0,0.43243243243243246
0.001,0.01,44,,0.3282961441153532,3.267998695373535,0.26621556282043457,3.5342142581939697,0.4745762711864407,0.09090909090909091,0.4567901234567901,0.2909090909090909
0.001,0.1,42,,0.3376674937965261,3.575482130050659,0.37814903259277344,3.9536311626434326,0.4,0.24615384615384617,0.4645161290322581,0.24
0.001,0.1,43,,0.2647314847314847,3.2549633979797363,0.24013829231262207,3.4951016902923584,0.5064935064935064,0.12,0.0,0.43243243243243246
0.001,0.1,44,,0.3282961441153532,3.057769536972046,0.28220605850219727,3.339975595474243,0.4745762711864407,0.09090909090909091,0.4567901234567901,0.2909090909090909
0.001,1.0,42,,0.3376674937965261,3.580188751220703,0.3927628993988037,3.972951650619507,0.4,0.24615384615384617,0.4645161290322581,0.24
0.001,1.0,43,,0.2647314847314847,2.982464551925659,0.2510342597961426,3.2334988117218018,0.5064935064935064,0.12,0.0,0.43243243243243246
0.001,1.0,44,,0.3282961441153532,3.0947535037994385,0.27173328399658203,3.3664867877960205,0.4745762711864407,0.09090909090909091,0.4567901234567901,0.2909090909090909
0.001,10.0,42,,0.3376674937965261,2.549046039581299,0.23952698707580566,2.7885730266571045,0.4,0.24615384615384617,0.4645161290322581,0.24
0.001,10.0,43,,0.2641176470588235,2.7020761966705322,0.2854483127593994,2.9875245094299316,0.5098039215686274,0.12,0.0,0.4266666666666667
0.001,10.0,44,,0.3282961441153532,2.56123423576355,0.2213442325592041,2.782578468322754,0.4745762711864407,0.09090909090909091,0.4567901234567901,0.2909090909090909
0.001,100.0,42,,0.3376674937965261,2.765759229660034,0.22060418128967285,2.986363410949707,0.4,0.24615384615384617,0.4645161290322581,0.24
0.001,100.0,43,,0.2641176470588235,2.55686092376709,0.22095942497253418,2.777820348739624,0.5098039215686274,0.12,0.0,0.4266666666666667
0.001,100.0,44,,0.32964113314229665,2.6595304012298584,0.23530268669128418,2.8948330879211426,0.4827586206896552,0.09090909090909091,0.4539877300613497,0.2909090909090909
0.001,10000.0,42,,0.31517574546060306,2.5867056846618652,0.21854257583618164,2.805248260498047,0.4444444444444444,0.2413793103448276,0.4444444444444444,0.13043478260869565
0.001,10000.0,43,,0.25819663308361324,2.6413841247558594,0.2585408687591553,2.8999249935150146,0.4936708860759494,0.12244897959183673,0.0,0.4166666666666667
0.001,10000.0,44,,0.30609895120839037,2.7122573852539062,0.21983814239501953,2.932095527648926,0.5,0.09302325581395349,0.43529411764705883,0.19607843137254902
