method,gamma,mode,seed,f1,train_time,test_time,total_time,rss_mb,f1_class_0,f1_class_1,f1_class_4,f1_class_5
wasps,0.01,knn,42.0,0.6294947723382983,0.07088780403137207,1.6519272327423096,1.7228150367736816,802.2,0.9,0.4166666666666667,0.6746987951807228,0.5185185185185185
wasps,0.01,knn,43.0,0.5995590693366177,0.06831693649291992,1.906510353088379,1.9748272895812988,802.2,0.8493150684931506,0.475,0.5783132530120482,0.48717948717948717
wasps,0.01,knn,44.0,0.667633747029392,0.06844258308410645,1.7898774147033691,1.8583199977874756,802.2,0.8461538461538461,0.5263157894736842,0.7209302325581395,0.5675675675675675
wasps,0.01,knn,45.0,0.5936510294562634,0.06946229934692383,1.6951370239257812,1.764599323272705,802.2,0.8860759493670886,0.38961038961038963,0.6046511627906976,0.4864864864864865
wasps,0.01,knn,46.0,0.6149169108391423,0.06597685813903809,1.4740707874298096,1.5400476455688477,802.2,0.8705882352941177,0.44776119402985076,0.6352941176470588,0.5060240963855421
wasps_nodiv,0.0001,knn,42.0,0.6390460584457746,0.07132124900817871,1.085693597793579,1.1570148468017578,772.2,0.8860759493670886,0.4117647058823529,0.651685393258427,0.6
wasps_nodiv,0.0001,knn,43.0,0.5981082610941922,0.07222414016723633,1.2099616527557373,1.2821857929229736,772.2,0.8493150684931506,0.44155844155844154,0.611764705882353,0.4810126582278481
wasps_nodiv,0.0001,knn,44.0,0.6670891392294411,0.07146406173706055,1.179183006286621,1.2506470680236816,772.2,0.8461538461538461,0.5333333333333333,0.7045454545454546,0.5753424657534246
wasps_nodiv,0.0001,knn,45.0,0.6047749407501004,0.07146763801574707,1.1232316493988037,1.1946992874145508,772.2,0.8860759493670886,0.35294117647058826,0.6521739130434783,0.5194805194805194
wasps_nodiv,0.0001,knn,46.0,0.5887049941927991,0.06401515007019043,1.00014066696167,1.0641558170318604,772.2,0.9024390243902439,0.36363636363636365,0.6363636363636364,0.4523809523809524
eucl_params,1.0,knn,42.0,0.5631620061055164,0.0706491470336914,1.6621229648590088,1.7327721118927002,788.2,0.775,0.41975308641975306,0.5454545454545454,0.5074626865671642
eucl_params,1.0,knn,43.0,0.5418218328268452,0.07209515571594238,1.9148383140563965,1.9869334697723389,788.2,0.7397260273972602,0.3384615384615385,0.5168539325842697,0.5747126436781609
eucl_params,1.0,knn,44.0,0.5626393569784198,0.11986112594604492,1.788832664489746,1.908693790435791,788.2,0.7912087912087912,0.48,0.4931506849315068,0.48
eucl_params,1.0,knn,45.0,0.5215443196301486,0.07714152336120605,1.6800124645233154,1.7571539878845215,788.2,0.7692307692307693,0.358974358974359,0.5128205128205128,0.43902439024390244
eucl_params,1.0,knn,46.0,0.6113758491882229,0.06376814842224121,1.4675796031951904,1.5313477516174316,788.2,0.8470588235294118,0.4225352112676056,0.5348837209302325,0.6410256410256411
eucl_params_nodiv,1.0,knn,42.0,0.5657429243068176,0.07549667358398438,1.0967259407043457,1.17222261428833,761.8,0.8192771084337349,0.40963855421686746,0.5517241379310345,0.47619047619047616
eucl_params_nodiv,1.0,knn,43.0,0.5520862603587633,0.07561755180358887,1.208709955215454,1.284327507019043,761.8,0.7792207792207793,0.3384615384615385,0.5176470588235295,0.5747126436781609
eucl_params_nodiv,1.0,knn,44.0,0.5528462514116774,0.07502222061157227,1.1984832286834717,1.273505449295044,761.8,0.7422680412371134,0.4935064935064935,0.4931506849315068,0.47761194029850745
eucl_params_nodiv,1.0,knn,45.0,0.5119164189024789,0.07529020309448242,1.089303970336914,1.1645941734313965,761.8,0.7407407407407407,0.358974358974359,0.5063291139240507,0.4358974358974359
eucl_params_nodiv,1.0,knn,46.0,0.6006435006435007,0.06386351585388184,0.9709675312042236,1.0348310470581055,761.8,0.8444444444444444,0.3888888888888889,0.5476190476190477,0.6216216216216216
eucl_raw,1.0,knn,42.0,0.46132715978402794,2.1457672119140625e-06,5.923517942428589,5.923520088195801,851.1,0.8888888888888888,0.23728813559322035,0.5373134328358209,0.18181818181818182
eucl_raw,1.0,knn,43.0,0.48104940523331663,2.384185791015625e-06,5.764120101928711,5.764122486114502,851.1,0.8767123287671232,0.2127659574468085,0.527027027027027,0.3076923076923077
eucl_raw,1.0,knn,44.0,0.5525049459084955,2.384185791015625e-06,5.691375017166138,5.691377401351929,851.1,0.935064935064935,0.29508196721311475,0.5423728813559322,0.4375
eucl_raw,1.0,knn,45.0,0.4925464109772051,1.9073486328125e-06,5.8344550132751465,5.834456920623779,851.1,0.8421052631578947,0.2,0.5409836065573771,0.3870967741935484
eucl_raw,1.0,knn,46.0,0.55057443351561,1.6689300537109375e-06,2.927812337875366,2.92781400680542,851.1,0.88,0.23076923076923078,0.6050420168067226,0.4864864864864865
eucl_raw_nodiv,1.0,knn,42.0,0.45414761810110643,2.384185791015625e-06,1.707824468612671,1.707826852798462,835.8,0.8888888888888888,0.2153846153846154,0.5271317829457365,0.18518518518518517
eucl_raw_nodiv,1.0,knn,43.0,0.4857406004822418,1.9073486328125e-06,1.675119161605835,1.6751210689544678,835.8,0.8918918918918919,0.2127659574468085,0.5306122448979592,0.3076923076923077
eucl_raw_nodiv,1.0,knn,44.0,0.5525049459084955,1.9073486328125e-06,1.691028356552124,1.6910302639007568,835.8,0.935064935064935,0.29508196721311475,0.5423728813559322,0.4375
eucl_raw_nodiv,1.0,knn,45.0,0.49709835364099975,2.1457672119140625e-06,1.7289631366729736,1.7289652824401855,835.8,0.8421052631578947,0.2,0.5528455284552846,0.39344262295081966
eucl_raw_nodiv,1.0,knn,46.0,0.5292424869037772,2.1457672119140625e-06,1.1913137435913086,1.1913158893585205,835.8,0.8333333333333334,0.23076923076923078,0.5806451612903226,0.4722222222222222
sta,0.0001,knn,42.0,0.6586819613135402,1.6689300537109375e-06,9328.203700780869,9328.203702449799,6876.5,0.9473684210526315,0.4358974358974359,0.7777777777777778,0.47368421052631576
sta,0.0001,knn,43.0,0.6873718565807029,1.430511474609375e-06,9330.457385063171,9330.457386493683,6876.5,0.9876543209876543,0.5,0.7441860465116279,0.5176470588235295
sta,0.0001,knn,44.0,0.608080479111256,1.6689300537109375e-06,8943.745833873749,8943.745835542679,6876.5,0.9629629629629629,0.2608695652173913,0.7640449438202247,0.4444444444444444
sta,0.0001,knn,45.0,0.707261793813518,2.1457672119140625e-06,8944.58719086647,8944.587193012238,6876.5,0.9066666666666666,0.5135135135135135,0.8571428571428571,0.5517241379310345
sta,0.0001,knn,46.0,0.6666892427106043,3.337860107421875e-06,5864.339408159256,5864.339411497116,6876.5,0.9113924050632911,0.4444444444444444,0.7674418604651163,0.5434782608695652
wasps_nodiv,0.01,knn,42,0.65281605870877,0.06470417976379395,1.134277105331421,1.1989812850952148,767.5,0.8888888888888888,0.4375,0.6881720430107527,0.5897435897435898
wasps_nodiv,0.01,knn,43,0.5877071709540973,0.06354975700378418,1.1263139247894287,1.189863681793213,767.5,0.8611111111111112,0.425,0.5581395348837209,0.5
wasps_nodiv,0.01,knn,44,0.6429675789336087,0.06763768196105957,1.1427583694458008,1.2103960514068604,767.5,0.8641975308641975,0.5066666666666667,0.7045454545454546,0.4857142857142857
wasps_nodiv,0.01,knn,45,0.5802467822572066,0.0660848617553711,1.096099615097046,1.162184476852417,767.5,0.875,0.35294117647058826,0.5714285714285714,0.5142857142857142
wasps_nodiv,0.01,knn,46,0.5944031806270896,0.06475591659545898,0.9878666400909424,1.0526225566864014,767.5,0.8809523809523809,0.4411764705882353,0.6021505376344086,0.4533333333333333
