method,gamma,mode,seed,f1,train_time,test_time,total_time,rss_mb,f1_class_0,f1_class_1,f1_class_4,f1_class_5
wasps,10000.0,barycenter,42,0.4991812417010687,5.845317363739014,0.5257532596588135,6.371070623397827,2303.8,0.8421052631578947,0.17857142857142858,0.410958904109589,0.5585585585585585
wasps,10000.0,barycenter,43,0.40127203282497076,6.0096845626831055,0.5046162605285645,6.51430082321167,2303.8,0.5172413793103449,0.21875,0.38461538461538464,0.49122807017543857
wasps,10000.0,barycenter,44,0.45790523066962424,5.844113349914551,0.5304176807403564,6.374531030654907,2303.8,0.5333333333333333,0.2903225806451613,0.5316455696202531,0.46846846846846846
wasps,10000.0,barycenter,45,0.5269788948374395,6.088413238525391,0.5480284690856934,6.636441707611084,2303.8,0.7397260273972602,0.3076923076923077,0.5176470588235295,0.5376344086021505
wasps,10000.0,barycenter,46,0.4565931213424965,1.6037847995758057,0.2700808048248291,1.8738656044006348,2303.8,0.7323943661971831,0.125,0.4050632911392405,0.5666666666666667
wasps_nodiv,100.0,barycenter,42,0.50315943080584,4.6358795166015625,0.46046924591064453,5.096348762512207,2236.1,0.8421052631578947,0.18181818181818182,0.410958904109589,0.5714285714285714
wasps_nodiv,100.0,barycenter,43,0.39759635083134914,4.4987499713897705,0.4450240135192871,4.943773984909058,2236.1,0.49122807017543857,0.2222222222222222,0.38461538461538464,0.5
wasps_nodiv,100.0,barycenter,44,0.4622942350586287,5.014158248901367,0.3747377395629883,5.3888959884643555,2236.1,0.5333333333333333,0.2903225806451613,0.5316455696202531,0.4864864864864865
wasps_nodiv,100.0,barycenter,45,0.5202722986157219,4.806384325027466,0.4557359218597412,5.262120246887207,2236.1,0.7297297297297297,0.30303030303030304,0.5,0.5434782608695652
wasps_nodiv,100.0,barycenter,46,0.45520210578725023,0.9703810214996338,0.2451937198638916,1.2155747413635254,2236.1,0.7222222222222222,0.125,0.4050632911392405,0.5714285714285714
eucl_params,10000.0,barycenter,42,0.24221514767488295,5.959311485290527,0.4280719757080078,6.387383460998535,2271.0,0.40993788819875776,0.2222222222222222,0.23728813559322035,0.09523809523809523
eucl_params,10000.0,barycenter,43,0.3009323363795809,5.85943078994751,0.48044395446777344,6.339874744415283,2271.0,0.4583333333333333,0.375,0.34782608695652173,0.0
eucl_params,10000.0,barycenter,44,0.3058219558219558,5.9797539710998535,0.48768115043640137,6.467435121536255,2271.0,0.35714285714285715,0.36666666666666664,0.2857142857142857,0.21212121212121213
eucl_params,10000.0,barycenter,45,0.27437024397803544,6.127633094787598,0.4447479248046875,6.572381019592285,2271.0,0.4460431654676259,0.17777777777777778,0.29333333333333333,0.17543859649122806
eucl_params,10000.0,barycenter,46,0.20743273021229763,1.5349578857421875,0.25285959243774414,1.7878174781799316,2271.0,0.4,0.12698412698412698,0.25,0.04878048780487805
