method,gamma,mode,seed,f1,train_time,test_time,total_time,rss_mb,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
wasps,0.01,barycenter,42.0,0.5984774123383056,8.54868769645691,0.5017998218536377,9.050487518310547,2846.5,0.3684210526315789,0.8936170212765957,0.6808510638297872,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.8888888888888888
wasps,0.01,barycenter,43.0,0.6348315157178541,8.558948516845703,0.5027132034301758,9.061661720275879,2846.5,0.4864864864864865,0.7777777777777778,0.6829268292682927,0.5365853658536586,0.43478260869565216,0.34782608695652173,0.7843137254901961
wasps,0.01,barycenter,44.0,0.526912292536498,7.859461069107056,0.7182352542877197,8.577696323394775,2846.5,0.47368421052631576,0.8076923076923077,0.38095238095238093,0.3888888888888889,0.43478260869565216,0.36363636363636365,0.631578947368421
wasps,0.01,barycenter,45.0,0.5942841476571636,8.64512038230896,0.508824348449707,9.153944730758667,2846.5,0.4375,0.7857142857142857,0.4444444444444444,0.6122448979591837,0.37037037037037035,0.4444444444444444,0.7692307692307693
wasps,0.01,barycenter,46.0,0.621994064164491,2.4076852798461914,0.33312463760375977,2.740809917449951,2846.5,0.5365853658536586,0.7857142857142857,0.6666666666666666,0.4117647058823529,0.5263157894736842,0.2962962962962963,0.7843137254901961
wasps_nodiv,0.01,barycenter,42.0,0.6354060781698504,6.54868221282959,0.5130624771118164,7.061744689941406,2751.8,0.358974358974359,0.9019607843137255,0.7755102040816326,0.36363636363636365,0.3333333333333333,0.4444444444444444,0.88
wasps_nodiv,0.01,barycenter,43.0,0.6857051819042521,6.609860897064209,0.4980199337005615,7.1078808307647705,2751.8,0.5641025641025641,0.7924528301886793,0.7619047619047619,0.6190476190476191,0.43478260869565216,0.38095238095238093,0.8
wasps_nodiv,0.01,barycenter,44.0,0.493349042568276,6.61321234703064,0.5033624172210693,7.116574764251709,2751.8,0.47368421052631576,0.7636363636363637,0.34782608695652173,0.34285714285714286,0.45454545454545453,0.38095238095238093,0.5660377358490566
wasps_nodiv,0.01,barycenter,45.0,0.6091813356976264,6.7235026359558105,0.49806642532348633,7.221569061279297,2751.8,0.48484848484848486,0.7719298245614035,0.47368421052631576,0.6122448979591837,0.38461538461538464,0.5333333333333333,0.7692307692307693
wasps_nodiv,0.01,barycenter,46.0,0.6110882168090406,1.418440818786621,0.29557228088378906,1.7140130996704102,2751.8,0.5238095238095238,0.7719298245614035,0.6818181818181818,0.3333333333333333,0.5555555555555556,0.34782608695652173,0.8
eucl_params,0.01,barycenter,42.0,0.4403147117432832,5.971160173416138,0.40192556381225586,6.3730857372283936,2703.9,0.22727272727272727,0.6122448979591837,0.4888888888888889,0.22727272727272727,0.25,0.4444444444444444,0.6909090909090909
eucl_params,0.01,barycenter,43.0,0.5051862881853186,5.916244268417358,0.41951823234558105,6.3357625007629395,2703.9,0.45714285714285713,0.5853658536585366,0.5581395348837209,0.48148148148148145,0.3076923076923077,0.2857142857142857,0.5263157894736842
eucl_params,0.01,barycenter,44.0,0.39556928982653616,5.938003778457642,0.42843127250671387,6.3664350509643555,2703.9,0.32432432432432434,0.5384615384615384,0.3333333333333333,0.30434782608695654,0.42857142857142855,0.4,0.46875
eucl_params,0.01,barycenter,45.0,0.4460716742437172,5.846621990203857,0.4251363277435303,6.271758317947388,2703.9,0.3333333333333333,0.5161290322580645,0.55,0.2727272727272727,0.2727272727272727,0.4,0.6071428571428571
eucl_params,0.01,barycenter,46.0,0.4574161741803067,1.2147202491760254,0.23323869705200195,1.4479589462280273,2703.9,0.42105263157894735,0.5714285714285714,0.4888888888888889,0.16666666666666666,0.14814814814814814,0.2857142857142857,0.7407407407407407
eucl_params_nodiv,0.01,barycenter,42.0,0.38695473943186964,5.118946075439453,0.4247705936431885,5.543716669082642,2649.0,0.22727272727272727,0.52,0.35,0.2127659574468085,0.17391304347826086,0.4444444444444444,0.6666666666666666
eucl_params_nodiv,0.01,barycenter,43.0,0.49336319700014786,5.134515762329102,0.4030497074127197,5.537565469741821,2649.0,0.3888888888888889,0.6046511627906976,0.6,0.4,0.2727272727272727,0.26666666666666666,0.5625
eucl_params_nodiv,0.01,barycenter,44.0,0.40484631715028574,5.0995423793792725,0.40787482261657715,5.50741720199585,2649.0,0.358974358974359,0.5660377358490566,0.3181818181818182,0.26666666666666666,0.35294117647058826,0.3076923076923077,0.5423728813559322
eucl_params_nodiv,0.01,barycenter,45.0,0.4289721369708462,4.997199296951294,0.3428826332092285,5.3400819301605225,2649.0,0.23529411764705882,0.5084745762711864,0.5238095238095238,0.3333333333333333,0.2608695652173913,0.4444444444444444,0.5818181818181818
eucl_params_nodiv,0.01,barycenter,46.0,0.3687866527082213,0.8002309799194336,0.23417448997497559,1.0344054698944092,2649.0,0.16666666666666666,0.509090909090909,0.4090909090909091,0.11764705882352941,0.13333333333333333,0.26666666666666666,0.7142857142857143
eucl_raw,0.0001,barycenter,42.0,0.41303010135592994,7.042830944061279,0.5192117691040039,7.562042713165283,2755.0,0.3684210526315789,0.6,0.7391304347826086,0.3870967741935484,0.375,0.2857142857142857,0.0
eucl_raw,0.0001,barycenter,43.0,0.7263225777048581,6.995786905288696,0.49420928955078125,7.4899961948394775,2755.0,0.6666666666666666,0.8679245283018868,0.75,0.5652173913043478,0.6,0.3333333333333333,0.875
eucl_raw,0.0001,barycenter,44.0,0.6275034937232885,7.113840341567993,0.519202470779419,7.633042812347412,2755.0,0.5789473684210527,0.7924528301886793,0.45,0.5128205128205128,0.5714285714285714,0.3076923076923077,0.8679245283018868
eucl_raw,0.0001,barycenter,45.0,0.7052924079965438,7.0862133502960205,0.511016845703125,7.5972301959991455,2755.0,0.6,0.84,0.6829268292682927,0.6,0.625,0.34782608695652173,0.88
eucl_raw,0.0001,barycenter,46.0,0.655493171527327,1.942033290863037,0.22428131103515625,2.1663146018981934,2755.0,0.5,0.8627450980392157,0.6818181818181818,0.4,0.5714285714285714,0.25806451612903225,0.9166666666666666
eucl_raw_nodiv,0.0001,barycenter,42.0,0.41303010135592994,6.0392937660217285,0.5102443695068359,6.5495381355285645,2720.2,0.3684210526315789,0.6,0.7391304347826086,0.3870967741935484,0.375,0.2857142857142857,0.0
eucl_raw_nodiv,0.0001,barycenter,43.0,0.7263225777048581,5.970296859741211,0.513355016708374,6.483651876449585,2720.2,0.6666666666666666,0.8679245283018868,0.75,0.5652173913043478,0.6,0.3333333333333333,0.875
eucl_raw_nodiv,0.0001,barycenter,44.0,0.6275034937232885,5.862858057022095,0.4868505001068115,6.349708557128906,2720.2,0.5789473684210527,0.7924528301886793,0.45,0.5128205128205128,0.5714285714285714,0.3076923076923077,0.8679245283018868
eucl_raw_nodiv,0.0001,barycenter,45.0,0.7052924079965438,6.036380290985107,0.5173206329345703,6.553700923919678,2720.2,0.6,0.84,0.6829268292682927,0.6,0.625,0.34782608695652173,0.88
eucl_raw_nodiv,0.0001,barycenter,46.0,0.655493171527327,1.2391815185546875,0.19708800315856934,1.4362695217132568,2720.2,0.5,0.8627450980392157,0.6818181818181818,0.4,0.5714285714285714,0.25806451612903225,0.9166666666666666
eucl_raw,1.0,barycenter,42.0,0.4158343430374082,7.1109960079193115,0.5133168697357178,7.624312877655029,2760.8,0.41025641025641024,0.6,0.7111111111111111,0.3870967741935484,0.3870967741935484,0.27586206896551724,0.0
eucl_raw,1.0,barycenter,43.0,0.7264898803046643,7.180932521820068,0.5137560367584229,7.694688558578491,2760.8,0.7,0.8518518518518519,0.75,0.5652173913043478,0.631578947368421,0.3333333333333333,0.851063829787234
eucl_raw,1.0,barycenter,44.0,0.6278767907422879,7.213063478469849,0.5115394592285156,7.724602937698364,2760.8,0.5789473684210527,0.7777777777777778,0.45,0.5128205128205128,0.5714285714285714,0.3076923076923077,0.8846153846153846
eucl_raw,1.0,barycenter,45.0,0.6932227814341636,7.177743434906006,0.5308980941772461,7.708641529083252,2760.8,0.6,0.8,0.6829268292682927,0.6,0.625,0.3333333333333333,0.8571428571428571
eucl_raw,1.0,barycenter,46.0,0.6481522646244677,1.9562509059906006,0.2033860683441162,2.159636974334717,2760.8,0.5,0.8461538461538461,0.6818181818181818,0.4,0.5714285714285714,0.25806451612903225,0.8936170212765957
eucl_raw_nodiv,1.0,barycenter,42.0,0.4158343430374082,6.018168687820435,0.507735013961792,6.525903701782227,2721.2,0.41025641025641024,0.6,0.7111111111111111,0.3870967741935484,0.3870967741935484,0.27586206896551724,0.0
eucl_raw_nodiv,1.0,barycenter,43.0,0.7189135320265616,6.036635875701904,0.4920060634613037,6.528641939163208,2721.2,0.6666666666666666,0.8518518518518519,0.75,0.5652173913043478,0.6,0.3333333333333333,0.851063829787234
eucl_raw_nodiv,1.0,barycenter,44.0,0.6275034937232885,5.980438947677612,0.49938344955444336,6.479822397232056,2721.2,0.5789473684210527,0.7924528301886793,0.45,0.5128205128205128,0.5714285714285714,0.3076923076923077,0.8679245283018868
eucl_raw_nodiv,1.0,barycenter,45.0,0.6900084624400015,5.985635757446289,0.54583740234375,6.531473159790039,2721.2,0.5853658536585366,0.8235294117647058,0.6829268292682927,0.5714285714285714,0.625,0.34782608695652173,0.8571428571428571
eucl_raw_nodiv,1.0,barycenter,46.0,0.6481522646244677,1.3674390316009521,0.20609307289123535,1.5735321044921875,2721.2,0.5,0.8461538461538461,0.6818181818181818,0.4,0.5714285714285714,0.25806451612903225,0.8936170212765957
sta,0.01,barycenter,42,0.4307744601221881,3219.786064863205,198.600727558136,3418.386792421341,1934.4,0.41025641025641024,0.6567164179104478,0.7659574468085106,0.35294117647058826,0.3870967741935484,0.2962962962962963,0.0
sta,0.01,barycenter,43,0.6882553679506545,3219.562793970108,198.43430185317993,3417.997095823288,1934.4,0.5945945945945946,0.8363636363636363,0.7,0.5581395348837209,0.5217391304347826,0.32,0.851063829787234
sta,0.01,barycenter,44,0.5999885089315984,2948.3488113880157,197.30834817886353,3145.6571595668793,1934.4,0.5853658536585366,0.8846153846153846,0.4,0.4,0.5454545454545454,0.3333333333333333,0.7857142857142857
sta,0.01,barycenter,45,0.5966300143351168,2951.2442564964294,196.0422477722168,3147.2865042686462,1934.4,0.45714285714285713,0.8076923076923077,0.45714285714285713,0.5531914893617021,0.4444444444444444,0.34782608695652173,0.7843137254901961
sta,0.01,barycenter,46,0.6572726053817671,1081.457232952118,111.45344567298889,1192.9106786251068,1934.4,0.5,0.8518518518518519,0.7142857142857143,0.4444444444444444,0.631578947368421,0.26666666666666666,0.8444444444444444
