method,gamma,n_jobs,n_tasks,batch_wall_time_s,avg_task_time_s,peak_total_rss_mb,avg_rss_per_job_mb,load_avg_time_s,load_avg_rss_mb
eucl_params,0.001,4.0,4.0,8.55,1.54,7415.7,1853.9,5.083,426.5
eucl_params_nodiv,0.001,4.0,4.0,8.21,1.2,7421.3,1855.3,5.073,427.8
eucl_raw,0.001,4.0,4.0,8.12,1.17,7423.4,1855.8,5.06,428.2
eucl_raw_nodiv,0.001,4.0,4.0,7.69,0.68,7417.6,1854.4,5.029,426.7
sta,0.001,2.0,4.0,10414.16,5200.91,15700.9,7850.4,4.627,3498.6
wasps,0.001,4.0,4.0,8.88,1.88,7419.8,1854.9,5.034,427.4
wasps_nodiv,0.001,4.0,4.0,8.29,1.29,7417.1,1854.3,5.072,426.5
eucl_params,0.01,4.0,4.0,8.5,1.53,7422.7,1855.7,5.029,427.8
eucl_params_nodiv,0.01,4.0,4.0,8.09,1.17,7422.5,1855.6,5.021,428.1
eucl_raw,0.01,4.0,4.0,8.17,1.16,7420.5,1855.1,5.044,428.1
eucl_raw_nodiv,0.01,4.0,4.0,7.69,0.68,7423.2,1855.8,5.076,428.0
sta,0.01,2.0,4.0,10539.99,5263.13,15895.7,7947.8,4.582,3497.0
wasps,0.01,4.0,4.0,8.83,1.86,7417.1,1854.3,5.026,426.7
wasps_nodiv,0.01,4.0,4.0,8.36,1.34,7422.5,1855.6,4.991,428.0
eucl_params,0.1,4.0,4.0,8.56,1.53,7413.9,1853.5,5.057,425.7
eucl_params_nodiv,0.1,4.0,4.0,8.18,1.19,7423.3,1855.8,5.036,428.1
eucl_raw,0.1,4.0,4.0,8.12,1.18,7423.0,1855.8,5.024,428.3
eucl_raw_nodiv,0.1,4.0,4.0,7.75,0.68,7423.1,1855.8,5.118,428.3
sta,0.1,2.0,4.0,10398.69,5193.04,15810.1,7905.0,4.636,3499.1
wasps,0.1,4.0,4.0,8.96,1.88,7419.9,1855.0,5.132,427.5
wasps_nodiv,0.1,4.0,4.0,8.32,1.31,7417.1,1854.3,5.03,426.7
eucl_params,1.0,4.0,4.0,8.55,1.55,7421.5,1855.4,5.079,427.8
eucl_params_nodiv,1.0,4.0,4.0,8.12,1.19,7420.6,1855.1,5.013,427.7
eucl_raw,1.0,4.0,4.0,8.15,1.18,7421.7,1855.4,5.013,428.0
eucl_raw_nodiv,1.0,4.0,4.0,7.68,0.65,7423.6,1855.9,5.009,428.0
sta,1.0,2.0,4.0,10469.95,5225.6,14353.6,7176.8,4.673,3455.1
wasps,1.0,4.0,4.0,8.88,1.85,7421.4,1855.3,5.048,428.1
wasps_nodiv,1.0,4.0,4.0,8.21,1.3,7416.9,1854.2,4.979,426.8
eucl_params,10.0,4.0,4.0,8.52,1.52,7415.0,1853.8,5.065,426.4
eucl_params_nodiv,10.0,4.0,4.0,8.13,1.18,7421.1,1855.3,5.006,427.4
eucl_raw,10.0,4.0,4.0,8.19,1.17,7421.3,1855.3,5.07,428.2
eucl_raw_nodiv,10.0,4.0,4.0,7.62,0.68,7424.1,1856.0,5.036,428.1
sta,10.0,2.0,4.0,10413.71,5200.08,15888.4,7944.2,4.583,3498.8
wasps,10.0,4.0,4.0,8.88,1.88,7422.3,1855.6,5.071,427.9
wasps_nodiv,10.0,4.0,4.0,8.23,1.34,7417.4,1854.3,5.001,426.9
eucl_params,100.0,4.0,4.0,8.49,1.56,7421.4,1855.3,5.016,428.3
eucl_params_nodiv,100.0,4.0,4.0,8.13,1.18,7423.4,1855.8,5.024,428.4
eucl_raw,100.0,4.0,4.0,8.09,1.22,7412.7,1853.2,5.02,425.8
eucl_raw_nodiv,100.0,4.0,4.0,7.62,0.68,7421.9,1855.5,5.037,428.0
sta,100.0,2.0,4.0,10428.24,5207.96,15775.9,7887.9,4.552,3497.8
wasps,100.0,4.0,4.0,8.82,1.89,7416.0,1854.0,5.001,426.4
wasps_nodiv,100.0,4.0,4.0,8.4,1.33,7411.8,1852.9,5.094,425.2
eucl_params,10000.0,4,4,8.47,1.53,7423.8,1855.9,5.003,428.2
eucl_params_nodiv,10000.0,4,4,8.09,1.18,7421.6,1855.4,5.003,428.1
eucl_raw,10000.0,4,4,8.15,1.19,7422.9,1855.7,5.038,428.0
eucl_raw_nodiv,10000.0,4,4,7.59,0.68,7421.9,1855.5,5.003,428.1
sta,10000.0,2,4,10419.82,5203.18,15509.9,7754.9,4.595,3495.7
wasps,10000.0,4,4,8.8,1.9,7422.6,1855.6,4.98,428.3
wasps_nodiv,10000.0,4,4,8.28,1.33,7422.8,1855.7,5.019,428.4
