method,gamma,f1_mean,f1_std,n_ok,train_time_mean,test_time_mean,total_time_mean
eucl_params,0.01,0.38222521131374415,0.06511318275659983,4.0,0.022150039672851562,0.8024526834487915,0.8246027231216431
eucl_params_nodiv,0.01,0.3444916748087459,0.06684919204779272,4.0,0.02217888832092285,0.5054038763046265,0.5275827646255493
eucl_raw,0.01,0.38455145246379896,0.050680213677028914,4.0,2.6226043701171875e-06,0.8155491948127747,0.8155518174171448
eucl_raw_nodiv,0.01,0.2526893777320744,0.15785210581002954,4.0,2.4437904357910156e-06,0.502153754234314,0.5021561980247498
sta,0.01,0.5914752227306962,0.044567765558382995,4.0,2.205371856689453e-06,4970.761213183403,4970.761215388775
wasps,0.01,0.4989420627997698,0.029368524646872986,4.0,0.022785425186157227,0.8990963101387024,0.9218817353248596
wasps_nodiv,0.01,0.49572994898227907,0.02741527003364797,4.0,0.022093594074249268,0.548569917678833,0.5706635117530823
eucl_params,1.0,0.42649887982189744,0.06477557749536192,5.0,0.040056610107421876,0.9355881214141846,0.9756447315216065
eucl_params_nodiv,1.0,0.42577316477752963,0.0659208039353724,5.0,0.03756990432739258,0.5247576713562012,0.5623275756835937
eucl_raw,1.0,0.4053368015132091,0.04676825946489735,5.0,3.147125244140625e-06,1.0837978839874267,1.083801031112671
eucl_raw_nodiv,1.0,0.39942098029009954,0.045141264738945794,5.0,2.288818359375e-06,0.5273259162902832,0.5273282051086425
sta,1.0,0.5787706598867274,0.0744201614130578,5.0,2.6702880859375e-06,3681.1964061737062,3681.196408843994
wasps,1.0,0.5344766799834757,0.05592698315696957,5.0,0.03063654899597168,1.4835787773132325,1.5142153263092042
wasps_nodiv,1.0,0.49224547764773413,0.04141712063140402,5.0,0.05815553665161133,0.5555135250091553,0.6136690616607666
eucl_params,100.0,0.446075582673924,0.06205890661553401,4,0.02240389585494995,0.803282618522644,0.825686514377594
eucl_params_nodiv,100.0,0.45094007244014167,0.053916444103049084,4,0.022197246551513672,0.5139575004577637,0.5361547470092773
eucl_raw,100.0,0.4359249580091015,0.0821430096822619,4,2.384185791015625e-06,0.8452962636947632,0.8452986478805542
eucl_raw_nodiv,100.0,0.377042494389166,0.05525123909883701,4,2.205371856689453e-06,0.49774813652038574,0.49775034189224243
sta,100.0,0.47090856795037145,0.03929217290493443,4,1.9669532775878906e-06,3204.802160680294,3204.8021626472473
wasps,100.0,0.522580700068998,0.046495433031780886,4,0.022187352180480957,0.8965433239936829,0.9187306761741638
wasps_nodiv,100.0,0.471808914587127,0.04681867482015401,4,0.022348642349243164,0.5514340996742249,0.573782742023468
