method,gamma,seed,f1,train_time,test_time,total_time,f1_class_0,f1_class_1,f1_class_4,f1_class_5
wasps,1.0,42.0,0.468993993993994,0.030283212661743164,1.3673110008239746,1.3975942134857178,0.8648648648648649,0.2777777777777778,0.3333333333333333,0.4
wasps,1.0,43.0,0.5436919051828507,0.030079126358032227,1.5097784996032715,1.5398576259613037,0.8717948717948718,0.3225806451612903,0.5106382978723404,0.46153846153846156
wasps,1.0,44.0,0.5326291319894819,0.030214548110961914,1.370971441268921,1.4011859893798828,0.8,0.4117647058823529,0.43902439024390244,0.47368421052631576
wasps,1.0,45.0,0.49434551431767115,0.030054092407226562,1.5490477085113525,1.579101800918579,0.7391304347826086,0.3448275862068966,0.4489795918367347,0.4444444444444444
wasps,1.0,46.0,0.6327228544333807,0.03255176544189453,1.6207852363586426,1.653337001800537,0.85,0.5405405405405406,0.6666666666666666,0.47368421052631576
wasps_nodiv,1.0,42.0,0.4449599592640471,0.04251241683959961,0.5186281204223633,0.5611405372619629,0.8648648648648649,0.1875,0.45161290322580644,0.27586206896551724
wasps_nodiv,1.0,43.0,0.46130392500326295,0.03210163116455078,0.5799503326416016,0.6120519638061523,0.8,0.13793103448275862,0.49056603773584906,0.4117647058823529
wasps_nodiv,1.0,44.0,0.5160872934754529,0.0747528076171875,0.519597053527832,0.5943498611450195,0.8695652173913043,0.42105263157894735,0.4489795918367347,0.32
wasps_nodiv,1.0,45.0,0.4785952398701093,0.04686117172241211,0.5668721199035645,0.6137332916259766,0.723404255319149,0.41379310344827586,0.35294117647058826,0.42424242424242425
wasps_nodiv,1.0,46.0,0.5602809706257983,0.09454965591430664,0.592519998550415,0.6870696544647217,0.8095238095238095,0.3448275862068966,0.6296296296296297,0.45714285714285713
eucl_params,1.0,42.0,0.46142257818459187,0.040309906005859375,0.8840959072113037,0.9244058132171631,0.7,0.391304347826087,0.42105263157894735,0.3333333333333333
eucl_params,1.0,43.0,0.41735141735141734,0.03268098831176758,0.9492843151092529,0.9819653034210205,0.43243243243243246,0.2857142857142857,0.5238095238095238,0.42857142857142855
eucl_params,1.0,44.0,0.4824746850063306,0.03454184532165527,0.8581533432006836,0.8926951885223389,0.6153846153846154,0.3783783783783784,0.4444444444444444,0.4864864864864865
eucl_params,1.0,45.0,0.30437925170068025,0.03175473213195801,0.9799857139587402,1.0117404460906982,0.4583333333333333,0.2857142857142857,0.24489795918367346,0.22857142857142856
eucl_params,1.0,46.0,0.4668664668664668,0.06099557876586914,1.0064213275909424,1.0674169063568115,0.5714285714285714,0.358974358974359,0.5128205128205128,0.42424242424242425
eucl_params_nodiv,1.0,42.0,0.46142257818459187,0.03287172317504883,0.46655869483947754,0.49943041801452637,0.7,0.391304347826087,0.42105263157894735,0.3333333333333333
eucl_params_nodiv,1.0,43.0,0.4156864156864157,0.0424959659576416,0.49871134757995605,0.5412073135375977,0.43243243243243246,0.30303030303030304,0.5,0.42857142857142855
eucl_params_nodiv,1.0,44.0,0.4924578649314249,0.033830881118774414,0.483705997467041,0.5175368785858154,0.6341463414634146,0.3783783783783784,0.46511627906976744,0.4864864864864865
eucl_params_nodiv,1.0,45.0,0.3033163265306122,0.046564340591430664,0.5547161102294922,0.6012804508209229,0.4489795918367347,0.2857142857142857,0.25,0.22857142857142856
