method,gamma,n_jobs,n_tasks,batch_wall_time_s,avg_task_time_s,peak_total_rss_mb,avg_rss_per_job_mb,load_avg_time_s,load_avg_rss_mb
eucl_params,0.01,4.0,4.0,3.4,0.83,2428.4,607.1,0.643,467.0
eucl_params_nodiv,0.01,4.0,4.0,3.1,0.53,2430.6,607.6,0.632,468.4
eucl_raw,0.01,4.0,4.0,3.4,0.82,2431.5,607.9,0.644,468.4
eucl_raw_nodiv,0.01,4.0,4.0,3.03,0.51,2430.4,607.6,0.636,466.4
sta,0.01,4.0,4.0,4975.65,4970.77,23716.4,5929.1,0.65,468.3
wasps,0.01,4.0,4.0,3.54,0.93,2395.4,598.8,0.638,468.5
wasps_nodiv,0.01,4.0,4.0,3.16,0.57,2417.3,604.3,0.646,468.5
eucl_params,100.0,4,4,3.39,0.83,2438.3,609.6,0.642,468.2
eucl_params_nodiv,100.0,4,4,3.08,0.54,2437.8,609.4,0.639,468.3
eucl_raw,100.0,4,4,3.41,0.85,2438.4,609.6,0.643,468.5
eucl_raw_nodiv,100.0,4,4,3.01,0.5,2440.3,610.1,0.641,468.6
sta,100.0,4,4,3211.7,3204.81,23756.6,5939.2,0.634,466.8
wasps,100.0,4,4,3.49,0.92,2406.4,601.6,0.627,467.8
wasps_nodiv,100.0,4,4,3.14,0.58,2437.1,609.3,0.64,467.9
