test,method,gamma,f1_mean,f1_std,n_seeds_ok
baseline,wasps,0.01,0.6282476605925813,0.04296089530600633,10
baseline,eucl_raw,0.01,0.6276591523996885,0.06977130077113092,10
test1_exponential_intensity,wasps,0.01,0.6837847710986781,0.04074117725230036,10
test1_exponential_intensity,eucl_raw,1.0,0.4723624152769041,0.06676183446369538,10
test2_wasps_fixed_k2,wasps,0.0001,0.6186618259011077,0.029381263857671994,10
test2_wasps_fixed_k2,eucl_raw,0.01,0.6276591523996885,0.06977130077113092,10
test3_window32_logcumulant,wasps,0.01,0.8102174776981121,0.018091154880948365,10
test3_window32_logcumulant,eucl_raw,0.1,0.6841642594655042,0.08633073850265045,10
test4_window32_mle,wasps,0.01,0.8113130145633978,0.02201879110933587,10
test4_window32_mle,eucl_raw,0.1,0.6841642594655042,0.08633073850265045,10
test5_baseline_mle,wasps,0.01,0.6432325417926902,0.04239701814924543,10
test5_baseline_mle,eucl_raw,0.01,0.6276591523996885,0.06977130077113092,10
