code_station,regime,ws,tw,q_level,pass_pct,mean_p,mean_n,tested
O036251001,NV,5,4,0.1,0.0,,87.2958904109589,365
O036251001,NV,5,4,0.15,0.0,,81.9945205479452,365
O036251001,NV,5,4,0.2,0.0,,77.37260273972603,365
O036251001,NV,5,4,0.25,0.0,,72.75616438356164,365
O036251001,NV,5,4,0.3,0.0,,68.24383561643836,365
O036251001,NV,5,4,0.35,0.0,,63.87123287671233,365
O036251001,NV,5,4,0.4,0.0,,59.95616438356164,365
O036251001,NV,5,4,0.45,0.00821917808219178,0.06568659096956253,54.68219178082192,365
O036251001,NV,5,4,0.5,0.8438356164383561,0.09143923968076706,49.75890410958904,365
O036251001,NV,3,4,0.1,0.03287671232876712,0.057975348085165024,31.164383561643834,365
O036251001,NV,3,4,0.15,0.06027397260273973,0.06377334892749786,29.21917808219178,365
O036251001,NV,3,4,0.2,0.21095890410958903,0.066627137362957,27.44109589041096,365
O036251001,NV,3,4,0.25,0.6684931506849315,0.0645979568362236,26.47945205479452,365
O036251001,NV,3,4,0.3,0.5616438356164384,0.08916560560464859,24.695890410958903,365
O036251001,NV,3,4,0.35,0.29315068493150687,0.09166113287210464,22.947945205479453,365
O036251001,NV,3,4,0.4,0.057534246575342465,0.1367420256137848,20.975342465753425,365
O036251001,NV,3,4,0.45,0.13150684931506848,0.1464269906282425,20.0,365
O036251001,NV,3,4,0.5,0.09041095890410959,0.19451342523097992,18.0,365
O036251001,NV,4,6,0.1,0.0,,84.06172839506173,243
O036251001,NV,4,6,0.15,0.0,,78.95884773662551,243
O036251001,NV,4,6,0.2,0.0,,74.05349794238683,243
O036251001,NV,4,6,0.25,0.0,,70.53497942386831,243
O036251001,NV,4,6,0.3,0.0,,65.74897119341564,243
O036251001,NV,4,6,0.35,0.0,,61.489711934156375,243
O036251001,NV,4,6,0.4,0.0,,56.74485596707819,243
O036251001,NV,4,6,0.45,0.00411522633744856,0.09958760440349579,52.79012345679013,243
O036251001,NV,4,6,0.5,0.07818930041152264,0.14787182211875916,47.97530864197531,243
O036251001,NV,2,28,0.1,0.0,,99.63461538461539,52
O036251001,NV,2,28,0.15,0.0,,94.75,52
O036251001,NV,2,28,0.2,0.0,,88.71153846153847,52
O036251001,NV,2,28,0.25,0.038461538461538464,0.1585150957107544,84.0,52
O036251001,NV,2,28,0.3,0.46153846153846156,0.34713003039360046,77.98076923076923,52
O036251001,NV,2,28,0.35,0.4807692307692308,0.3351927101612091,72.98076923076923,52
O036251001,NV,2,28,0.4,0.5576923076923077,0.29540377855300903,67.0,52
O036251001,NV,2,28,0.45,0.5769230769230769,0.32897529006004333,62.0,52
O036251001,NV,2,28,0.5,0.5769230769230769,0.3356894552707672,55.98076923076923,52
O036251001,NV,1,28,0.1,0.9038461538461539,0.5464868545532227,25.0,52
O036251001,NV,1,28,0.15,0.9615384615384616,0.521993100643158,23.0,52
O036251001,NV,1,28,0.2,0.9615384615384616,0.5404775142669678,22.0,52
O036251001,NV,1,28,0.25,0.9615384615384616,0.5660884380340576,21.0,52
O036251001,NV,1,28,0.3,0.9423076923076923,0.5407629013061523,19.0,52
O036251001,NV,1,28,0.35,0.9615384615384616,0.5572400689125061,18.0,52
