regime,ws,tw,q_level,threshold,mean_pass,mean_p,mean_n,regime_name
NG,1,28,0.1,1.2574707031250003,0.7564102564102564,0.5102982819080353,27.452380952380953,Nivo-glacial
NG,2,14,0.45,3.5699584960937503,0.7026634712804926,0.37582874510969433,30.253325669602265,Nivo-glacial
NG,2,28,,,,,,Nivo-glacial
NP,1,28,0.1,0.16943359375,0.7436165769069865,0.49992632807469833,26.103908198819504,Nivo-pluvial
NP,2,14,0.4,1.830078125,0.7047703343239977,0.45552729975943473,28.117361152005998,Nivo-pluvial
NP,2,28,,,,,,Nivo-pluvial
NV,1,28,0.1,0.267578125,0.7369635627530364,0.483111161934702,27.949473684210524,Nival
NV,2,14,0.3,2.6650390625,0.719972120414609,0.41286924126602353,26.73858283408043,Nival
NV,2,28,,,,,,Nival
PC,1,28,0.1,0.02099609375,0.7591738447981696,0.5268727497035222,26.196199121183877,Pluvial contrasted
PC,2,14,0.35,0.47314453125,0.7216485582274901,0.4748601405708878,27.718391178112245,Pluvial contrasted
PC,2,28,,,,,,Pluvial contrasted
PM,1,28,0.1,0.26513671875,0.7604380341880341,0.5088684767484665,26.562361111111112,Pluvial moderately contrasted
PM,2,14,0.2,0.7216796875,0.7222928207956978,0.4442777752876282,29.420800194271614,Pluvial moderately contrasted
PM,2,28,,,,,,Pluvial moderately contrasted
PN,1,28,0.1,0.0634765625,0.7654640479717643,0.5396651268005371,26.098522223755943,Pluvio-nival
PN,2,14,0.35,1.009765625,0.7125517613491887,0.47306552908399646,28.754977376691862,Pluvio-nival
PN,2,28,,,,,,Pluvio-nival
