regime,q_level,threshold
NV,0.1,0.267578125
NV,0.15,1.0048828125
NV,0.2,1.5758789062500003
NV,0.25,2.0455322265625
NV,0.3,2.6650390625
NV,0.35,3.603515625
NV,0.4,4.7666015625
NV,0.45,6.360009765625001
NV,0.5,8.8837890625
NG,0.1,1.2574707031250003
NG,0.15,1.6932861328125002
NG,0.2,1.9501953125
NG,0.25,2.4251708984375
NG,0.3,2.6067871093750004
NG,0.35,2.7776611328125
NG,0.4,3.03857421875
NG,0.45,3.5699584960937503
NG,0.5,3.8955078125
NP,0.1,0.16943359375
NP,0.15,0.3271484375
NP,0.2,0.515625
NP,0.25,0.7646484375
NP,0.3,1.0439453125
NP,0.35,1.3544921875
NP,0.4,1.830078125
NP,0.45,2.3283935546875014
NP,0.5,2.947509765625
PC,0.1,0.02099609375
PC,0.15,0.04736328125
PC,0.2,0.10205078125
PC,0.25,0.1962890625
PC,0.3,0.32421875
PC,0.35,0.47314453125
PC,0.4,0.65576171875
PC,0.45,0.88525390625
PC,0.5,1.15234375
PM,0.1,0.26513671875
PM,0.15,0.4760009765625002
PM,0.2,0.7216796875
PM,0.25,0.76513671875
PM,0.3,0.8831542968750004
PM,0.35,1.00699462890625
PM,0.4,1.2420898437500005
PM,0.45,1.4404296875
PM,0.5,1.5865478515625
PN,0.1,0.0634765625
PN,0.15,0.1669921875
PN,0.2,0.3310546875
PN,0.25,0.520263671875
PN,0.3,0.7431640625
PN,0.35,1.009765625
PN,0.4,1.32568359375
PN,0.45,1.68701171875
PN,0.5,2.0810546875
