code_station,nom_station,regime_hydrologique,regime_code,X_Lambert93,Y_Lambert93,superficie_km2,altitude_m,region_hydrographique,date_debut,date_fin
A105003001,L Ill a Altkirch,Pluvial contrasté,PC,1018591.0,6733545.0,233.0,282.0,,01/01/1976,31/12/2019
A107020001,Le Thalbacha Wittersdorf,Pluvial contrasté,PC,1020987.0,6733324.0,70.0,280.0,,15/11/1980,31/12/2019
A116003002,L Ill a Didenheim,Pluvial contrasté,PC,1022679.0,6744002.0,656.0,243.0,,01/01/1976,31/12/2019
A204010101,La Fecht a Wintzenheim [La Forge],Pluvio-nival,PN,1015115.0,6782141.0,211.0,279.0,,01/01/1976,08/01/2007
A212020002,La Weiss a Kaysersberg[Freland-Gare],Pluvio-nival,PN,1013205.0,6792351.0,117.0,318.0,,01/01/1976,01/01/2007
A231020001,Le Giessen a Thanville,Pluvio-nival,PN,1022161.0,6810961.0,99.0,228.0,,01/01/1984,31/12/2019
A234021001,La Liepvrette a Liepvre,Pluvio-nival,PN,1018314.0,6805298.0,108.0,259.0,,01/01/1976,31/12/2019
A235020002,Le Giessen a Selestat [Amont],Pluvio-nival,PN,1030515.0,6806291.0,260.0,172.0,,01/01/1976,29/12/2006
A273011002,La Bruche a Russ [Wisches],Pluvio-nival,PN,1015642.0,6831304.0,229.0,263.0,,01/01/1976,31/12/2019
A284020001,La Mossig a Soultz-Les-Bains,Pluvial contrasté,PC,1031005.0,6839665.0,163.0,167.0,,01/01/1976,31/12/2019
A330010001,La Moder a Schweighouse-Sur-Moder[Aval],Pluvial contrasté,PC,1047946.0,6868500.0,622.0,144.0,,01/01/1976,31/12/2019
A341020001,La Zorn a Saverne [Schinderthal],Pluvial contrasté,PC,1018558.0,6856363.0,185.0,190.0,,01/01/1976,31/12/2019
A348020001,La Zorn a Waltenheim-Sur-Zorn,Pluvial contrasté,PC,1040476.0,6859970.0,688.0,147.0,,01/01/1976,31/12/2019
A373020001,Le Seltzbacha Niederroedern,Pluvial contrasté,PC,1069823.0,6878903.0,202.0,120.0,,01/01/1976,31/12/2019
A402061001,La Moselle a Fresse-Sur-Moselle,Pluvio-nival,PN,983633.0,6758630.0,71.0,511.0,,01/01/1976,31/12/2019
A405062001,La Moselle a Rupt-Sur-Moselle,Pluvio-nival,PN,975276.0,6763000.0,152.0,432.0,,01/01/1976,31/12/2019
A414020202,La Moselotte a Vagney [Ancienne],Pluvio-nival,PN,976859.0,6772679.0,187.0,406.0,,01/01/1976,14/12/2006
A420063001,La Moselle a Saint-Nabord[Noirgueux],Pluvio-nival,PN,968828.0,6780044.0,626.0,371.0,,01/01/1976,31/12/2019
A436203001,La Volognea Chenimenil,Pluvio-nival,PN,967994.0,6787546.0,355.0,370.0,,30/11/1976,31/12/2019
A443064001,La Moselle a Epinal,Pluvio-nival,PN,956628.0,6790642.0,1217.0,324.0,,01/01/1976,31/12/2019
A463201001,L Avierea Frizon,Pluvial contrasté,PC,949651.0,6804393.0,105.0,297.0,,01/01/1976,31/12/2019
A503000000,L Eurona Froville,Pluvial contrasté,PC,948723.0,6824189.0,92.0,250.0,,01/01/1977,21/08/2006
A524201001,Le Gite a Velotte-Et-Tatignecourt,Pluvial contrasté,PC,935525.0,6800218.0,114.0,273.0,,01/01/1980,31/12/2019
A526102001,Le Madon a Mirecourt,Pluvial contrasté,PC,932569.0,6805140.0,382.0,261.0,,01/01/1976,28/09/2006
A542201001,Le Brenon a Autrey,Pluvial contrasté,PC,931786.0,6830231.0,139.0,230.0,,01/01/1976,12/06/2007
A543101001,Le Madon a Pulligny,Pluvial contrasté,PC,931099.0,6831736.0,943.0,225.0,,01/01/1976,31/12/2019
A550061001,La Moselle a Pont-Saint-Vincent,Pluvial contrasté,PC,928460.0,6838554.0,3070.0,215.0,,16/09/1988,31/12/2019
A573061001,La Moselle a Toul,Pluvial contrasté,PC,913325.0,6844981.0,3338.0,201.0,,01/01/1976,31/12/2019
A605102001,La Meurthe a Saint-Die,Pluvio-nival,PN,993333.0,6805615.0,374.0,335.0,,01/01/1976,31/12/2019
A615103001,La Meurthe a Raon-lEtape,Pluvio-nival,PN,984449.0,6818283.0,727.0,281.0,,01/01/1976,31/12/2019
A654111001,La Vezouzea Thiebaumenil,Pluvial contrasté,PC,967325.0,6837320.0,458.0,231.0,,20/01/1992,31/12/2019
A662121202,La Mortagne a Sainte-Helene,Pluvial contrasté,PC,973249.0,6805888.0,100.0,320.0,,01/01/1976,30/12/2009
A670121001,La Mortagne a Roville-Aux-Chenes,Pluvial contrasté,PC,967421.0,6813834.0,300.0,271.0,,17/02/1992,31/12/2019
A673122001,La Mortagne a Gerbeviller,Pluvial contrasté,PC,960336.0,6826587.0,493.0,233.0,,01/01/1976,31/12/2019
A692101001,La Meurthe a Laneuveville-Devant-Nancy,Pluvial contrasté,PC,941091.0,6843043.0,2780.0,200.0,,31/12/1985,31/12/2019
A695301001,L Amezule a Lay-Saint-Christophe,Pluvial contrasté,PC,935092.0,6854387.0,85.0,197.0,,01/01/1976,23/12/2005
A701061001,La Moselle a Custines,Pluvial contrasté,PC,929435.0,6858933.0,6830.0,184.0,,01/01/1976,31/12/2019
A764201001,La Petite Seille a Chateau-Salins,Pluvial contrasté,PC,957555.0,6863288.0,143.0,203.0,,01/01/1976,31/12/2019
A782101001,La Seille a Nomeny,Pluvial contrasté,PC,936627.0,6870164.0,925.0,181.0,,01/01/1976,31/12/2019
A788101001,La Seille a Metz [Pont Lothaire],Pluvial contrasté,PC,932732.0,6893684.0,1280.0,163.0,,01/01/1976,20/09/2015
A807101001,L Orne a Boncourt,Pluvial contrasté,PC,906399.0,6899607.0,412.0,185.0,,01/01/1976,31/12/2019
A832201001,Le Woigot a Briey,Pluvial contrasté,PC,913578.0,6909240.0,76.0,204.0,,01/01/1996,31/12/2019
A843101001,L Orne a Rosselange,Pluvial contrasté,PC,923584.0,6910653.0,1226.0,164.0,,01/01/1976,31/12/2019
A850061001,La Moselle a Uckange,Pluvial contrasté,PC,930740.0,6917588.0,10770.0,150.0,,01/01/1981,31/12/2019
A900105050,La Sarre Blanchea Laneuveville-Les-Lorquin,Pluvial contrasté,PC,995191.0,6846972.0,,268.0,,01/01/1976,31/12/2019
A901305050,La Sarre Rouge a Vasperviller,Pluvial contrasté,PC,999275.0,6845438.0,89.0,279.0,,01/01/1976,31/12/2019
A919205040,L Albe a Sarralbe[Rech],Pluvial contrasté,PC,993507.0,6883364.0,406.0,208.0,,01/01/1976,22/08/2007
A932215050,L Horn a Bousseviller,Pluvial contrasté,PC,1026243.0,6901170.0,95.0,265.0,,01/01/1995,31/12/2019
A975201001,La Nied Francaisea Conde-Northen[Pontigny],Pluvial contrasté,PC,949573.0,6899535.0,499.0,205.0,,01/01/1976,31/12/2019
